risk_band,sessions,predicted_rate,observed_rate
1,8153,0.00707835944048534,0.0062553661228995465
2,8153,0.00884716448616518,0.008831105114681713
3,8153,0.009783896651710429,0.009076413590089538
4,8152,0.010666591724723458,0.009077526987242394
5,8153,0.011567640948033938,0.01054826444253649
6,8153,0.012368307420125102,0.010670918680240402
7,8152,0.013216675951874982,0.01189892051030422
8,8153,0.014272223484880848,0.01054826444253649
9,8153,0.016729322674581673,0.012510732245799093
10,8152,0.027471567152456047,0.02244847890088322
