score_decile,sessions,purchases,avg_score,observed_rate,lift_vs_average
1,8153,183,0.027470598001139743,0.022445725499816018,2.0065051127450664
2,8153,102,0.01672876812602838,0.012510732245799093,1.1183798989070861
3,8153,86,0.014272052618888068,0.01054826444253649,0.9429477579020531
4,8152,97,0.013216575410936744,0.01189892051030422,1.0636878206618114
5,8153,84,0.012368205155687751,0.010302955967128664,0.9210187402764238
6,8153,89,0.01156753166495868,0.010916227155648228,0.9758412843404967
7,8152,74,0.010666480056087954,0.009077526987242394,0.8114731827729283
8,8153,74,0.009783798973130874,0.009076413590089538,0.8113736521482783
9,8153,72,0.00884702763753986,0.008831105114681713,0.789444634522649
10,8152,51,0.007078210933049222,0.0062561334641805695,0.5592585448840453
